City,Country_Code,Population
Amsterdam,NLD,872680
Athens,GRC,664046
Barcelona,ESP,1636762
Berlin,DEU,3748148
Bratislava,SVK,424428
Brussels,BEL,1211035
Budapest,HUN,1768073
Copenhagen,DNK,602481
Dublin,IRL,544107
Edinburgh,GBR,482005
Geneva,CHE,198979
Hamburg,DEU,1899160
Helsinki,FIN,152058
Krakow,POL,766683
Lisbon,PRT,504718
Ljubljana,SVN,279631
London,GBR,9126366
Luxembourg,LUX,124528
Lyon,FRA,513275
Madrid,ESP,3223334
Milan,ITA,1404239
Munich,DEU,1471508
Oporto,PRT,214349
Oslo,NOR,634293
Paris,FRA,2140526
Prague,CZE,1324277
Rome,ITA,2844750
Stockholm,SWE,975551
Vienna,AUT,1921153
Warsaw,POL,1793579
Zurich,CHE,402762
